model,case_id,repeat,runner_status,duration_seconds,capped_minutes,timeout,completed_within_limit,correct,result,false_positive_count,false_negative_count,events,commands,agent_messages,input_tokens,cached_input_tokens,output_tokens,prediction,expected,artifact_dir
Qwen3.6-27B-base,86,2,succeeded,1160.088,19.335,False,True,False,wrong,2,1,96,39,15,1605803,0,29363,"[""Core_SW_01;STP 端口下实例根路径开销规划不合理"", ""Core_SW_02;STP 端口下实例根路径开销规划不合理""]","[[""Core_SW_01;VRRP Master角色规划不合理""], [""Core_SW_02;VRRP Master角色规划不合理""]]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q86-r02
Qwen3.6-27B-base,100,2,succeeded,1482.36,24.706,False,True,True,correct,0,0,84,37,7,1956097,0,38563,"[""Core_SW_01;VRRP工作在非抢占模式""]","[""Core_SW_01;VRRP工作在非抢占模式""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q100-r02
Qwen3.6-27B-base,12,3,succeeded,1962.915,32.715,False,True,False,wrong,1,1,156,65,23,3752565,0,50810,"[""PE1;L3VPN配置错误""]","[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q12-r03
Qwen3.6-27B-base,24,3,succeeded,1221.867,20.364,False,True,False,wrong,1,1,108,46,13,928404,0,27824,"[""FW_01;安全策略规则未放通对应的用户""]","[""AGG_SW_01;STP BPDU被过滤""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q24-r03
Qwen3.6-27B-base,40,3,succeeded,3231.454,53.858,False,True,False,wrong,1,3,226,99,25,6020693,0,54926,"[""BJHQ_CSR1000V_GW_01;BGP配置错误""]","[""PE1;存在IP路由环路"", ""PE2;存在IP路由环路"", ""PE3;存在IP路由环路""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q40-r03
Qwen3.6-27B-base,72,3,failed,3603.305,60.0,True,False,False,timeout,0,3,195,87,19,0,0,0,null,"[""PE1;存在MPLS标签环路"", ""PE2;存在MPLS标签环路"", ""PE3;存在MPLS标签环路""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q72-r03
Qwen3.6-27B-base,86,3,succeeded,944.332,15.739,False,True,True,correct,0,0,52,22,5,736867,0,26455,"[""Core_SW_01;VRRP Master角色规划不合理""]","[[""Core_SW_01;VRRP Master角色规划不合理""], [""Core_SW_02;VRRP Master角色规划不合理""]]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q86-r03
Qwen3.6-27B-base,100,3,succeeded,1248.108,20.802,False,True,True,correct,0,0,85,35,12,1578542,0,36377,"[""Core_SW_01;VRRP工作在非抢占模式""]","[""Core_SW_01;VRRP工作在非抢占模式""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q100-r03
Qwen3.6-27B-base,12,4,succeeded,1552.13,25.869,False,True,False,wrong,2,1,123,56,8,1609224,0,40563,"[""BJHQ_CSR1000V_GW_01;BGP配置错误"", ""PE1;L3VPN配置错误""]","[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q12-r04
Qwen3.6-27B-base,24,4,succeeded,2349.523,39.159,False,True,False,wrong,2,1,116,45,23,1896796,0,72248,"[""PE2;BGP配置错误"", ""PE3;BGP配置错误""]","[""AGG_SW_01;STP BPDU被过滤""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q24-r04
Qwen3.6-27B-base,40,4,succeeded,2425.997,40.433,False,True,False,wrong,1,3,108,43,19,2505990,0,48188,"[""BJHQ_CSR1000V_GW_01;BGP配置错误""]","[""PE1;存在IP路由环路"", ""PE2;存在IP路由环路"", ""PE3;存在IP路由环路""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q40-r04
Qwen3.6-27B-base,72,4,succeeded,3394.963,56.583,False,True,False,wrong,1,3,206,87,29,6344125,0,78422,"[""BJHQ_CSR1000V_GW_01;NAT外网接口属性配置错误或者配置缺失""]","[""PE1;存在MPLS标签环路"", ""PE2;存在MPLS标签环路"", ""PE3;存在MPLS标签环路""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q72-r04
Qwen3.6-27B-base,86,4,succeeded,1288.908,21.482,False,True,False,wrong,2,1,84,31,19,1294724,0,29405,"[""Core_SW_01;STP 端口下实例根路径开销规划不合理"", ""Core_SW_02;STP 端口下实例根路径开销规划不合理""]","[[""Core_SW_01;VRRP Master角色规划不合理""], [""Core_SW_02;VRRP Master角色规划不合理""]]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q86-r04
Qwen3.6-27B-base,100,4,succeeded,1340.091,22.335,False,True,True,correct,0,0,150,61,25,2521239,0,30484,"[""Core_SW_01;VRRP工作在非抢占模式""]","[""Core_SW_01;VRRP工作在非抢占模式""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q100-r04
Qwen3.6-27B-base,12,5,succeeded,1656.997,27.617,False,True,False,wrong,1,1,121,46,26,2348066,0,43333,"[""BJHQ_CSR1000V_GW_01;BGP配置错误""]","[""Core_SW_02;全局STP未使能""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q12-r05
Qwen3.6-27B-base,24,5,succeeded,3141.776,52.363,False,True,True,correct,0,0,103,44,12,2427850,0,95020,"[""AGG_SW_01;STP BPDU被过滤""]","[""AGG_SW_01;STP BPDU被过滤""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q24-r05
Qwen3.6-27B-base,40,5,succeeded,2438.938,40.649,False,True,False,wrong,1,3,196,89,15,5895432,0,47478,"[""BJHQ_CSR1000V_GW_01;NAT内网接口属性配置错误或者缺失""]","[""PE1;存在IP路由环路"", ""PE2;存在IP路由环路"", ""PE3;存在IP路由环路""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q40-r05
Qwen3.6-27B-base,72,5,succeeded,1820.701,30.345,False,True,False,wrong,1,3,107,41,22,2296771,0,32194,"[""Core_SW_01;VRRP Master角色规划不合理""]","[""PE1;存在MPLS标签环路"", ""PE2;存在MPLS标签环路"", ""PE3;存在MPLS标签环路""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q72-r05
Qwen3.6-27B-base,86,5,succeeded,827.86,13.798,False,True,True,correct,0,0,95,35,22,1505755,0,17063,"[""Core_SW_02;VRRP Master角色规划不合理""]","[[""Core_SW_01;VRRP Master角色规划不合理""], [""Core_SW_02;VRRP Master角色规划不合理""]]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q86-r05
Qwen3.6-27B-base,100,5,succeeded,880.171,14.67,False,True,False,wrong,2,1,99,40,16,1399411,0,18943,"[""Core_SW_01;VRRP Master角色规划不合理"", ""Core_SW_02;VRRP Master角色规划不合理""]","[""Core_SW_01;VRRP工作在非抢占模式""]",/root/autodl-tmp/qwen-codex-eval/base-eval-tp2x1-concurrency2-20260731T174703Z-q100-r05
